Frequency	Phi	Theta	EPhi real	EPhi imaginary	ETheta real	ETheta imaginary	Gain . dB	Gain Phi. Lin	Gain Theta. Lin
2500000000	2.5132741229	-1.2042771839	-0.0106776362635407	-0.0628732766223046	0.451251172586962	0.169888122230903	-6.26064828303633	0.00406706082940131	0.23248959483625
2500000000	2.5132741229	-1.1519173063	-0.0371784251527616	-0.0690735312206361	0.554262498082836	0.0502056632089908	-5.00476614837268	0.00615338801212769	0.30972752539928
2500000000	2.5132741229	-1.0995574288	-0.0622363150720492	-0.0672587960850466	0.599783828995065	-0.0788133533202685	-4.26722985358432	0.00839710456455726	0.365952186185567
2500000000	2.5132741229	-1.0471975512	-0.083528990497007	-0.0571371505839258	0.583383768871185	-0.206887636865914	-4.05186772020673	0.0102417462302993	0.383139116070311
2500000000	2.5132741229	-0.9948376736	-0.0989445044659936	-0.0392895236481273	0.507279082781135	-0.32441808437692	-4.27229617707262	0.0113336816325178	0.36257916129806
2500000000	2.5132741229	-0.9424777961	-0.106803488454118	-0.0150680858048308	0.379916086746439	-0.423037919966031	-4.75044203862489	0.0116340323557907	0.323297314697914
2500000000	2.5132741229	-0.8901179185	-0.106060176345032	0.0135884657639814	0.214851452247067	-0.495989158389544	-5.17698520045	0.0114334074081582	0.292166391772642
2500000000	2.5132741229	-0.837758041	-0.0964487387069553	0.0443926794769741	0.0290729824156368	-0.538362951608796	-5.20060686904993	0.0112730691893079	0.290679905971475
2500000000	2.5132741229	-0.7853981634	-0.078545102247934	0.0749649049144383	-0.159033446814953	-0.547252181247397	-4.729302011193	0.0117890700559692	0.324776587085878
2500000000	2.5132741229	-0.7330382858	-0.0537245569772862	0.103075681343365	-0.331822976359367	-0.521858405911937	-4.02355695785645	0.0135109241068046	0.382442683460937
2500000000	2.5132741229	-0.6806784083	-0.0240107453305397	0.126847115482664	-0.474376943312659	-0.463574983701972	-3.4046223196683	0.0166667065976003	0.439935249860945
2500000000	2.5132741229	-0.6283185307	0.00817036661397103	0.144895765451011	-0.576093674901923	-0.376039987248502	-3.05964115615998	0.0210615377362411	0.473289994271856
2500000000	2.5132741229	-0.5759586532	0.040300421702956	0.156410196946983	-0.631693866034625	-0.265124334600883	-3.05029684956854	0.0260882736984301	0.469328053183332
2500000000	2.5132741229	-0.5235987756	0.0700977542504924	0.161166304433771	-0.641523543447352	-0.138800446807217	-3.35634205400798	0.0308882728358014	0.43081802083113
2500000000	2.5132741229	-0.47123889804	0.0958140163776366	0.159491019084012	-0.611127552196667	-0.00683123358433499	-3.89189497295563	0.0346177109028707	0.373523550806174
2500000000	2.5132741229	-0.41887902048	0.116448529245712	0.152189115205104	-0.550161253594273	0.119768151912343	-4.5131140638288	0.0367217867504019	0.31702181516892
2500000000	2.5132741229	-0.36651914292	0.131841336990933	0.14044823287862	-0.470795528520712	0.229512861985383	-5.06636168711696	0.0371078442582838	0.274324583491818
2500000000	2.5132741229	-0.31415926536	0.142624469499658	0.125734506608219	-0.385838511806536	0.311448242251455	-5.49716595711289	0.0361509054520711	0.245871364794603
2500000000	2.5132741229	-0.2617993878	0.150034389058471	0.1096865120629	-0.306837048677349	0.356290163027563	-5.9238290734537	0.0345414488286734	0.221091654711233
2500000000	2.5132741229	-0.20943951024	0.155613123717431	0.0940101487287756	-0.242425422295273	0.357582786134002	-6.58191912073594	0.033053352337103	0.186635534314397
2500000000	2.5132741229	-0.15707963268	0.160846850752834	0.0803730967292124	-0.197156706419659	0.312718462736323	-7.7212576444935	0.0323315440749478	0.136663603822417
2500000000	2.5132741229	-0.10471975512	0.166804677420061	0.0702958050391409	-0.170986383689991	0.223654351789681	-9.50693137920003	0.0327653006153115	0.0792576124818432
2500000000	2.5132741229	-0.05235987756	0.173844123147383	0.065037151916797	-0.159486668556969	0.0971774711015144	-11.5907210584566	0.034451610282331	0.0348794583370862
2500000000	2.5132741229	-4.4408920985E-16	0.181442035525971	0.065476775664206	-0.154765234429397	-0.0553852430739666	-11.922740910935	0.0372084204071885	0.0270198029383486
2500000000	2.5132741229	0.05235987756	0.188191040168287	0.0720016784314198	-0.146958146040235	-0.219047131519643	-9.57903334473199	0.0406001092965634	0.0695783425145668
2500000000	2.5132741229	0.10471975512	0.191974756054513	0.0844105772588003	-0.126078619756272	-0.376585037836545	-6.9531227148663	0.0439794525153537	0.157712109081999
2500000000	2.5132741229	0.15707963268	0.190304121604161	0.10185388868189	-0.0839440448023475	-0.510373756302665	-5.02907387748933	0.0465898733391541	0.267527973780271
2500000000	2.5132741229	0.20943951024	0.180767424019519	0.122828590478352	-0.0158831592001292	-0.6044268140842	-3.83684398351615	0.0477637242255513	0.365584048330153
2500000000	2.5132741229	0.2617993878	0.161523235773971	0.145244412521373	0.0780521344946021	-0.646389857333064	-3.26889035964167	0.0471856950635726	0.423911983362222
2500000000	2.5132741229	0.31415926536	0.131752839965048	0.166570565707409	0.192581707664767	-0.629217976607192	-3.20474406830554	0.0451045641989418	0.433002976212727
2500000000	2.5132741229	0.36651914292	0.0919896434329953	0.184061159329643	0.317512372529386	-0.552292111612208	-3.4854627950798	0.0423406048727018	0.405840683258311
2500000000	2.5132741229	0.41887902048	0.0442581226696492	0.195044123772117	0.438868040221281	-0.42179115642264	-3.86672103458566	0.0400009916402746	0.370512936364016
2500000000	2.5132741229	0.47123889804	-0.00801777074315373	0.197245075115863	0.540706737835361	-0.250228472206185	-4.04561134242445	0.0389699043051522	0.354978064643199
2500000000	2.5132741229	0.5235987756	-0.060341075847044	0.189106676146331	0.607387194695499	-0.0551719880283703	-3.85772099322872	0.039402380397492	0.371963152543071
2500000000	2.5132741229	0.5759586532	-0.107668959775949	0.170058064159964	0.625968934167324	0.142719696740151	-3.44171884207508	0.0405123500850694	0.412206018380176
2500000000	2.5132741229	0.6283185307	-0.145071304614638	0.140689613014423	0.588394275868381	0.322113499872467	-3.09091746044784	0.0408392506327412	0.449964930674766
2500000000	2.5132741229	0.6806784083	-0.16842598893842	0.102796448160581	0.493115378321068	0.463568450747897	-3.03649808203921	0.0389344235043158	0.458058484865535
2500000000	2.5132741229	0.7330382858	-0.175044723242011	0.059269264811433	0.345894330488718	0.551921012951433	-3.38742891717787	0.03415350088616	0.424259692401574
2500000000	2.5132741229	0.7853981634	-0.164128557975979	0.0138313617564421	0.159611846088782	0.57817352584183	-4.12412430850189	0.0271294901113119	0.359760567396242
2500000000	2.5132741229	0.837758041	-0.136973936782142	-0.029356428068797	-0.0469437182355654	0.540630836573765	-5.0291951837871	0.0196236592265567	0.294485414136229
2500000000	2.5132741229	0.8901179185	-0.0968855470369665	-0.0661795495299224	-0.251189284957772	0.445127557923802	-5.60665503138442	0.0137665420006357	0.261234599700804
2500000000	2.5132741229	0.9424777961	-0.0487960227073091	-0.0930819435575417	-0.429509222220493	0.304308946528005	-5.40415429243076	0.0110453000485016	0.277082106909437
2500000000	2.5132741229	0.9948376736	0.00136197202305368	-0.10753719147871	-0.560310178631301	0.136055092701353	-4.63410517785618	0.0115661025189203	0.332458484527814
2500000000	2.5132741229	1.0471975512	0.0474458472808622	-0.108409869667086	-0.626955376609002	-0.0387471236314313	-3.8872481757942	0.0140038082654335	0.394574383848645
2500000000	2.5132741229	1.0995574288	0.0839421759909354	-0.0961496816118905	-0.620165578740525	-0.19879338471074	-3.56137695711888	0.0162910501841611	0.424124154859323
2500000000	2.5132741229	1.1519173063	0.106730705510818	-0.0727816850844615	-0.539533240245366	-0.324975672737096	-3.83635912553573	0.0166886171825707	0.396705305200592
2500000000	2.5132741229	1.2042771839	0.11365748240903	-0.0416835141645246	-0.393907856208727	-0.402684150064597	-4.78896631734979	0.0146555386606631	0.317317923896202
2500000000	2.5132741229	1.2566370614	0.104827815445398	-0.00717103029996598	-0.200559773297291	-0.423507618163915	-6.37096968699112	0.0110402945666175	0.219582925307933
2500000000	2.5132741229	1.308996939	0.0825708493902541	0.0260572339034436	0.0168035187384179	-0.386128313596278	-8.04448040130604	0.0074969246077268	0.149377432802698
2500000000	2.5132741229	1.3613568166	0.0510769098040045	0.0535436827928432	0.230933687387923	-0.296317918959652	-8.33835062138421	0.00547577668214702	0.141134677067162
2500000000	2.5132741229	1.4137166941	0.0157588815081879	0.071677288563881	0.414483468526735	-0.166062282747591	-6.88756568547681	0.00538597604225897	0.199373227433294
2500000000	2.5132741229	1.4660765717	-0.0175681745779373	0.0781946515703041	0.543543399967183	-0.0119552130721829	-5.19985292934006	0.00642304429220214	0.295582354767486
2500000000	2.5132741229	1.5184364492	-0.043566045819967	0.0725022101057773	0.600799882155224	0.14690873923294	-4.09272662386239	0.00715457081860974	0.382542676060743
2500000000	2.5132741229	1.5707963268	-0.0581777623304616	0.0557690994192301	0.577883808527956	0.291257990429686	-3.71329373055032	0.00649484447981165	0.418780913147914
2500000000	2.5132741229	1.6231562044	-0.0592345288917922	0.030772171219047	0.476582253892627	0.40388602849953	-4.03721623380734	0.00445565593456691	0.3902545687425
2500000000	2.5132741229	1.6755160819	-0.0467719719732323	0.00151032357895632	0.308735821594416	0.47154107770277	-4.95041840421722	0.00218989843957798	0.317668795496669
2500000000	2.5132741229	1.7278759595	-0.023006793921301	-0.027360733823382	0.0948207366448297	0.486254461737899	-6.07809205017398	0.00127792232189117	0.245434373657882
2500000000	2.5132741229	1.780235837	0.00802288799526752	-0.0511950094424979	-0.138606836885688	0.445984609618425	-6.56002065909307	0.00268529572360206	0.218114127247955
2500000000	2.5132741229	1.8325957146	0.0410983111498364	-0.0660297035699461	-0.362271443825362	0.354549561530188	-5.80052535342893	0.00604899293290372	0.256945990592561
2500000000	2.5132741229	1.8849555922	0.0706432035669431	-0.0691688786573155	-0.547900742782926	0.220912540658804	-4.45181009833255	0.009774795984911	0.34899757456241
2500000000	2.5132741229	1.9373154697	0.0916022515480168	-0.0595924411188161	-0.671816623066911	0.0579599999122598	-3.31018810772096	0.0119422315271657	0.454696936618857
2500000000	2.5132741229	1.9896753473	0.100239282258419	-0.038130075279069	-0.717919825870939	-0.119039623715727	-2.66737615880075	0.0115018163484705	0.529579308392941
2500000000	2.5132741229	2.0420352248	0.0947320422515163	-0.00737341481077111	-0.679675927716557	-0.294089865014874	-2.53773246335285	0.00902852707511477	0.548448215421829
2500000000	2.5132741229	2.0943951024	0.0754720765002442	0.0286624663131719	-0.560847177539093	-0.452037838722508	-2.79505521262369	0.00651757130641243	0.518887764190483
2500000000	2.5132741229	2.14675498	0.0450239948702435	0.0650808459271794	-0.374885677077977	-0.579904675074856	-3.15970712035403	0.00626267662067298	0.476828703051887
2500000000	2.5132741229	2.1991148575	0.00775116354453646	0.0967716311254693	-0.143084775007781	-0.667868388466866	-3.22442075799769	0.00942482912697805	0.466521437152356
2500000000	2.5132741229	2.2514747351	-0.0308336914314001	0.119111233223836	0.108248009637687	-0.709851253952949	-2.75114385758324	0.0151382024073898	0.515606434329095
2500000000	2.5132741229	2.3038346126	-0.064892365799656	0.12859504907498	0.35120474332664	-0.703718329701581	-1.94287167427443	0.0207477057856729	0.618564259293114
2500000000	2.5132741229	2.3561944902	-0.0891326848951895	0.123313987454565	0.559812696237824	-0.651136388091287	-1.1888945995885	0.0231509750185698	0.737368850765629
2500000000	2.5132741229	2.4085543678	-0.0995943724143092	0.103209779981172	0.713218917564393	-0.55716832012888	-0.75881505543502	0.020571297700362	0.819117761326962
2500000000	2.5132741229	2.4609142453	-0.0942303004777572	0.0700763837025934	0.79810793696796	-0.429685907077252	-0.781074489993338	0.0137900490809615	0.821606257792054
2500000000	2.5132741229	2.5132741229	-0.073196701423625	0.0273116410092702	0.810050042069089	-0.278676149769936	-1.30800472108189	0.00610368283391856	0.733841467106729
2500000000	2.5132741229	2.5656340004	-0.0388114922794764	-0.0205410557530686	0.753630331337965	-0.115498330964043	-2.34162522144386	0.00192826690441053	0.581298540768051
2500000000	2.5132741229	2.617993878	0.00480880584069258	-0.0683923354009871	0.641378939053087	0.0478726348838725	-3.78450500929849	0.00470063615521459	0.413658732631588
2500000000	2.5132741229	2.6703537556	0.05237404499861	-0.111260655574151	0.491686389461939	0.199599563540923	-5.2765688944111	0.0151219740683063	0.281595491347845
2500000000	2.5132741229	2.7227136331	0.0982086912795443	-0.144888360259029	0.326022273179725	0.328726359995775	-6.10853191033049	0.030637583981391	0.214351542365347
2500000000	2.5132741229	2.7750735107	0.137081405246165	-0.166236666736618	0.165862256039122	0.42590403971572	-5.92897338230525	0.0464259410319647	0.208904539024557
2500000000	2.5132741229	2.8274333882	0.16494993613995	-0.173796883221305	0.0297568031103181	0.484080999974804	-5.33675631968256	0.0574138380500135	0.235219881867952
